," Short Term Drought Blend (gridMET Drought) at Lands, 2006-12-01 to 2021-09-30"
"2013-01-10",0.3948
"2013-01-15",0.3145
"2013-01-20",0.2083
"2013-01-25",-0.3651
"2013-01-30",-0.382
"2013-02-04",-0.435
"2013-02-09",-0.6918
"2013-02-14",-0.896
"2013-02-19",-0.9165
"2013-02-24",-1.0711
"2013-03-01",-1.2907
"2013-03-06",-1.5278
"2013-03-11",-1.3062
"2013-03-16",-1.3972
"2013-03-21",-1.5185
"2013-03-26",-1.7167
"2013-03-31",-1.5542
"2013-04-05",-1.4747
"2013-04-10",-1.5599
"2013-04-15",-1.5301
"2013-04-20",-1.6091
"2013-04-25",-1.4941
"2013-04-30",-1.5179
"2013-05-05",-1.6865
"2013-05-10",-1.6423
"2013-05-15",-1.5868
"2013-05-20",-1.4679
"2013-05-25",-1.3347
"2013-05-30",-1.2495
"2013-06-04",-1.218
"2013-06-09",-1.2926
"2013-06-14",-1.1938
"2013-06-19",-1.1188
"2013-06-24",-0.9046
"2013-06-29",-0.8034
"2013-07-04",-0.8256
"2013-07-09",-0.761
"2013-07-14",-0.7568
"2013-07-19",-0.6659
"2013-07-24",-0.6088
"2013-07-29",-0.5054
"2013-08-03",-0.4485
"2013-08-08",-0.4067
"2013-08-13",-0.4137
"2013-08-18",-0.3353
"2013-08-23",-0.2631
"2013-08-28",-0.198
"2013-09-02",-0.2193
"2013-09-07",-0.2063
"2013-09-12",-0.2217
"2013-09-17",-0.2997
"2013-09-22",-0.3797
"2013-09-27",-0.4644
"2013-10-02",-0.5165
"2013-10-07",-0.6615
"2013-10-12",-0.7154
"2013-10-17",-0.7975
"2013-10-22",-0.9454
"2013-10-27",-1.0726
"2013-11-01",-1.1294
"2013-11-06",-1.1162
"2013-11-11",-1.3928
"2013-11-16",-1.5404
"2013-11-21",-1.1144
"2013-11-26",-1.1951
"2013-12-01",-1.2033
"2013-12-06",-1.3644
"2013-12-11",-1.4527
"2013-12-16",-1.6255
"2013-12-21",-1.7838
"2013-12-26",-1.8054
"2013-12-31",-1.8785
"2014-01-05",-1.9562
"2014-01-10",-2.2127
"2014-01-15",-2.0887
"2014-01-20",-2.2519
"2014-01-25",-2.266
"2014-01-30",-2.2777
"2014-02-04",-2.0263
"2014-02-09",-1.7648
"2014-02-14",-1.8008
"2014-02-19",-1.8398
"2014-02-24",-1.7124
"2014-03-01",-0.8453
"2014-03-06",-0.8727
"2014-03-11",-0.9891
"2014-03-16",-0.958
"2014-03-21",-0.8734
"2014-03-26",-0.7283
"2014-03-31",-1.1392
"2014-04-05",-0.8912
"2014-04-10",-0.9546
"2014-04-15",-0.9155
"2014-04-20",-0.8397
"2014-04-25",-0.5652
"2014-04-30",-0.9728
"2014-05-05",-1.1126
"2014-05-10",-1.0237
"2014-05-15",-0.9084
"2014-05-20",-0.7058
"2014-05-25",-0.984
"2014-05-30",-1.2695
"2014-06-04",-1.0855
"2014-06-09",-1.0087
"2014-06-14",-0.8927
"2014-06-19",-0.788
"2014-06-24",-0.6108
"2014-06-29",-0.7014
"2014-07-04",-0.6964
"2014-07-09",-0.5463
"2014-07-14",-0.4651
"2014-07-19",-0.3915
"2014-07-24",-0.7665
"2014-07-29",-0.6552
"2014-08-03",-0.6022
"2014-08-08",-0.5434
"2014-08-13",-0.5484
"2014-08-18",-0.4733
"2014-08-23",-0.3992
"2014-08-28",-0.3314
"2014-09-02",-0.3515
"2014-09-07",-0.3358
"2014-09-12",-0.3487
"2014-09-17",-0.4259
"2014-09-22",-0.548
"2014-09-27",-0.6269
"2014-10-02",-0.673
