ID,Year,SurveyDate,TerritoryName,IsProtocolSurvey,ObservationID,Analysis Type,Sample Qualifier,BreedingStatus,StartTime,EndTime,CommonName,AdultCount,FledglingCount,NestlingCount,OtherCount,EggCountCode,IsTerritorialBehavior,Summary,NestCode,TerritoryNestID,varObject,VarFilter,Detection,JulianDay,Area_Type,BreedingYear,DaySinceDec15th
14130,2021,2021-03-12,Tunnel,TRUE,21994,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T12:17:00Z,1899-12-31T15:20:00Z,Prairie Falcon,0,0,0,0,NA,No,No sign of PRFA presence / activity at Tunnel.,"NA",487,frmSurveyDetail,[ID] = 14130,0,71,Core,2021,88
14130,2021,2021-03-12,Western Front,TRUE,21998,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T12:17:00Z,1899-12-31T15:20:00Z,Prairie Falcon,0,0,0,0,NA,No,No sign of PRFA presence / activity at Western Front.,"NA",419,frmSurveyDetail,[ID] = 14130,0,71,Core,2021,88
14131,2021,2021-03-22,South Chalone,TRUE,21727,Occupancy,Yes: Raptor status confirmed,Occupancy,1899-12-31T13:45:00Z,1899-12-31T15:30:00Z,Prairie Falcon,2,0,0,0,NA,Yes,"PRFA ad pr active at S. Chal. Peak in SC-12 area, circling, wailing, F ad follows Mad, both bank up W of SC-12 area for food exchange (1346), F clutches prey, M circles up, scolds, stoops at me, F ad flies out f sight with prey, later joins M in scolding,","NA",407,frmSurveyDetail,[ID] = 14131,1,81,Non-core,2021,98
14132,2021,2021-03-22,North Chalone Peak,TRUE,21729,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T16:10:00Z,1899-12-31T16:32:00Z,Prairie Falcon,2,0,0,0,NA,Yes,"PRFA F ad sits low at NC-1, likely incubating eggs, ness switch with M ad, F ad perches up from NC-7, preens.",NC-1,46,frmSurveyDetail,[ID] = 14132,1,81,Non-core,2021,98
14137,2021,2021-03-22,NE Sec 15,TRUE,21739,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T12:30:00Z,1899-12-31T16:30:00Z,Prairie Falcon,0,0,0,0,NA,No,No sign of PRFA presence / activity at NE Sec. 15.,"NA",509,frmSurveyDetail,[ID] = 14137,0,81,Non-core,2021,98
14137,2021,2021-03-22,North Chalone Peak,TRUE,21738,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T12:30:00Z,1899-12-31T16:30:00Z,Prairie Falcon,2,0,0,NA,NA,Yes,"PRFA ad pr active at North Chalone Peak, F ad sits low, incubates at NC-1, nest switch with M ad, F ad banks up, perches up from NC-7, preens.",NC-1,46,frmSurveyDetail,[ID] = 14137,1,81,Non-core,2021,98
14140,2021,2021-03-23,D. Soto Canyon,TRUE,21742,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T14:30:00Z,1899-12-31T17:30:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at D. Soto Cyn.,"NA",519,frmSurveyDetail,[ID] = 14140,0,82,Non-core,2021,99
14140,2021,2021-03-23,Guard Rock,TRUE,21743,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T14:30:00Z,1899-12-31T17:30:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Guard Rock.,"NA",497,frmSurveyDetail,[ID] = 14140,0,82,Non-core,2021,99
14140,2021,2021-03-23,High Peaks Trail West of Chalone Picnic Area,TRUE,21744,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T14:30:00Z,1899-12-31T17:30:00Z,Prairie Falcon,0,0,0,0,NA,No,No sign of PRFA presence / activity at WCP rock masses.,"NA",405,frmSurveyDetail,[ID] = 14140,0,82,Non-core,2021,99
14143,2021,2021-03-25,Narrows East Fork of Marion Canyon,TRUE,21750,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T13:35:00Z,1899-12-31T17:00:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Narrows.,"NA",467,frmSurveyDetail,[ID] = 14143,0,84,Non-core,2021,101
